Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
4.0,100927.2221,7.76967894,1256508000.0,180000.0,1.167336e+35,7.975116,23.45519,6.680844,0.0,0.0,2.891855e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.7
4.0,99151.2286,9.04872762,385076500.0,150000.0,1.021218e+34,8.114249,25.85166,8.384813,0.0,0.0,8.892753e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
5.0,98782.1912,7.93347031,1077088000.0,240000.0,7.871349e+34,7.951978,23.67138,6.827642,0.0,0.0,2.311226e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.75
4.0,98667.8878,8.17298274,870309900.0,180000.0,5.115441e+34,7.9438,24.05192,7.089668,0.0,0.0,1.869591e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.85
1.0,98454.6021,7.39369788,1793422000.0,0.0,2.153481e+35,7.983297,22.99745,6.375422,0.0,0.0,1.718811e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.6
3.0,98253.2943,7.60576728,1462274000.0,120000.0,1.419967e+35,7.986567,23.23098,6.530326,0.0,0.0,2.639453e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
4.0,97063.5871,8.91409874,440551900.0,150000.0,1.227585e+34,8.069482,25.54059,8.156041,0.0,0.0,8.690923e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.2
4.0,96842.1245,8.68637051,548235200.0,150000.0,1.883749e+34,8.010202,25.03794,7.789797,0.0,0.0,1.032039e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.1
5.0,96712.0747,9.2180011,323167000.0,200000.0,6.510415e+33,8.16347,26.24172,8.673373,0.0,0.0,7.354253e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
4.0,96222.5883,8.28507848,787114300.0,180000.0,3.784563e+34,7.946211,24.23923,7.220439,0.0,0.0,1.532087e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.9
