Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
235.0,1533.5,8.5786353,576766400.0,10303740000.0,1.310892e+27,4.758186,24.4888,7.398284,0.9999723269,-4.557942,124340400000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.95
244.0,1538.3086,8.35499318,684706100.0,11938570000.0,1.870744e+27,4.899668,23.9631,7.030697,0.9995987207,-3.396553,900503000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.8
235.0,1540.3103,7.79592441,977462000.0,14444700000.0,3.832345e+27,5.223854,22.71618,6.199089,0.990328379,-2.014501,315539100000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.45
234.0,1540.6667,8.92398655,426394400.0,7250230000.0,7.299442e+26,4.528299,25.3289,8.002551,0.9999996744,-6.487375,5814586000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.15
238.0,1541.7394,8.50275639,612630900.0,10868550000.0,1.511032e+27,4.812679,24.30867,7.271267,0.9999237086,-4.117525,259730300000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.9
241.0,1542.8475,8.42849721,648510000.0,11455360000.0,1.698077e+27,4.858808,24.13411,7.149236,0.9998167828,-3.737034,493472600000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.85
266.0,1544.6958,8.13138986,798394500.0,13128990000.0,2.586062e+27,5.034827,23.45366,6.684006,0.9951577339,-2.314951,9530252000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.65
231.0,1546.299,8.82761741,465954400.0,8092678000.0,8.844896e+26,4.599242,25.09186,7.830333,0.9999987743,-5.911624,15073350000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.1
257.0,1549.9954,8.28145464,721537900.0,12470390000.0,2.141272e+27,4.950404,23.79379,6.914405,0.9989906702,-2.995967,2024229000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.75
264.0,1550.5935,8.20716541,759315300.0,12818310000.0,2.375025e+27,4.994321,23.62453,6.799197,0.9977892516,-2.655461,4381854000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.7
234.0,1551.3047,8.73950291,503847400.0,8892569000.0,1.047655e+27,4.664978,24.87663,7.675052,0.9999958026,-5.377024,36326820000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.05
210.0,1551.4482,7.59046109,1092092000.0,15135280000.0,4.923792e+27,5.347723,22.27681,5.91879,0.9898718684,-1.994471,2468964000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.35
222.0,1555.2597,7.69790597,1031651000.0,14768980000.0,4.437203e+27,5.288194,22.50562,6.064017,0.9898718684,-1.994471,937781300000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.4
227.0,1557.9003,9.16056477,338554400.0,5273631000.0,4.811134e+26,4.39966,25.91458,8.43236,0.9999999583,-7.379866,1033782000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.25
234.0,1561.4251,8.65710607,540633300.0,9633591000.0,1.238004e+27,4.727361,24.67707,7.532087,0.9999867568,-4.878006,83633410000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.0
260.0,1561.4433,7.97215283,882187200.0,13597790000.0,3.29654e+27,5.135764,23.10002,6.449053,0.9915781192,-2.074591,64527950000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.55
264.0,1562.9376,8.0533431,839189200.0,13313270000.0,2.994459e+27,5.090431,23.27946,6.56768,0.9923202164,-2.114651,27588280000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.6
230.0,1565.1933,9.03261006,384362800.0,6305154000.0,6.318103e+26,4.478328,25.59746,8.199,0.9999998805,-6.922628,2993202000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.2
194.0,1568.0619,7.47028656,1161109000.0,15269990000.0,5.808061e+27,5.426009,22.02308,5.759384,0.98939381,-1.974441,8417857000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.3
247.0,1569.7049,7.88677327,928013300.0,13897550000.0,3.725739e+27,5.18822,22.91316,6.326713,0.990764313,-2.034531,167457700000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.5
234.0,1570.8514,8.57861807,576777900.0,10291490000.0,1.44341e+27,4.784809,24.4888,7.398284,0.9999617913,-4.417838,180690200000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.95
233.0,1571.2034,8.92398736,426394000.0,7248865000.0,7.895573e+26,4.553079,25.3289,8.002551,0.9999995597,-6.356257,8192904000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.15
231.0,1574.2235,9.32207316,286675700.0,4170302000.0,3.596495e+26,4.337998,26.31388,8.727883,0.9999999704,-7.528005,449986600.0,-9.99986,-1.999885,-0.305396,-0.305396,1.3
230.0,1577.5264,8.82762089,465952600.0,8090086000.0,9.581245e+26,4.624696,25.09186,7.830333,0.9999983166,-5.77381,21445590000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.1
265.0,1578.7935,8.13138441,798399600.0,13021790000.0,2.822109e+27,5.05471,23.45366,6.684006,0.9944391816,-2.254861,13693230000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.65
234.0,1582.2519,7.79590767,977480800.0,14215130000.0,4.267278e+27,5.246549,22.71618,6.199088,0.990328379,-2.014501,463823900000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.45
237.0,1583.0268,8.50274125,612641500.0,10848790000.0,1.679569e+27,4.840194,24.30867,7.271267,0.9998946468,-3.977352,385465900000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.9
243.0,1583.3108,8.35498784,684710300.0,11893610000.0,2.099474e+27,4.927533,23.9631,7.030697,0.9994458207,-3.25635,1387713000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.8
256.0,1584.766,8.28145015,721541600.0,12419640000.0,2.339997e+27,4.971317,23.79379,6.914405,0.9987288948,-2.895818,2862607000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.75
188.0,1585.2993,7.33252339,1242122000.0,15186410000.0,6.943929e+27,5.508128,21.73421,5.579814,0.9888931867,-1.954411,2.853187e+16,-9.99986,-1.999885,-0.305396,-0.305396,0.25
233.0,1585.8139,8.73950603,503845600.0,8887849000.0,1.144026e+27,4.690931,24.87663,7.675052,0.9999942125,-5.237512,52080260000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.05
240.0,1586.4314,8.42849374,648512600.0,11425350000.0,1.898253e+27,4.886304,24.13411,7.149236,0.9997583799,-3.616867,742143300000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.85
263.0,1589.4349,8.20715959,759320300.0,12734720000.0,2.622123e+27,5.017112,23.62453,6.799197,0.997084461,-2.535281,6539604000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.7
209.0,1593.0244,7.59043563,1092124000.0,14778850000.0,5.473507e+27,5.370122,22.27681,5.918791,0.9898718684,-1.994471,3558085000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.35
221.0,1596.3692,7.69788523,1031676000.0,14485070000.0,4.925516e+27,5.310316,22.50562,6.064015,0.9898718684,-1.994471,1354057000000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.4
233.0,1598.6213,8.65710624,540633200.0,9625339000.0,1.360253e+27,4.754013,24.67707,7.532087,0.9999817197,-4.738016,121316200000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.0
263.0,1599.7856,8.05333569,839196400.0,13199870000.0,3.28705e+27,5.111137,23.27946,6.56768,0.9919577228,-2.094621,39731570000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.6
232.0,1602.9522,8.92398995,426392700.0,7247330000.0,8.553303e+26,4.578232,25.3289,8.002551,0.9999993741,-6.203521,11604090000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.15
259.0,1603.1145,7.97214149,882198700.0,13454450000.0,3.662883e+27,5.158574,23.10002,6.449052,0.9911805978,-2.054561,96310930000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.55
